site,species,trait,env,value
30,Acer macrophyllum,-1.194207609,-0.936792732,0
306,Acer macrophyllum,-1.194207609,1.34195997,0
307,Acer macrophyllum,-1.194207609,1.394045746,0
308,Acer macrophyllum,-1.194207609,-0.350827751,0
31,Acer macrophyllum,-1.194207609,-0.204336506,0
32,Acer macrophyllum,-1.194207609,1.47217441,0
33,Acer macrophyllum,-1.194207609,1.08153109,0
34,Acer macrophyllum,-1.194207609,0.82110221,0
35,Acer macrophyllum,-1.194207609,0.283967644,0
38,Acer macrophyllum,-1.194207609,-0.503829718,5
39,Acer macrophyllum,-1.194207609,-0.774024681,0
407,Acer macrophyllum,-1.194207609,0.905741596,0
409,Acer macrophyllum,-1.194207609,-1.480438019,0
410,Acer macrophyllum,-1.194207609,-1.425096882,0
411,Acer macrophyllum,-1.194207609,-0.936792732,0
412,Acer macrophyllum,-1.194207609,1.667496071,0
43,Acer macrophyllum,-1.194207609,-1.425096882,0
45,Acer macrophyllum,-1.194207609,0.202583619,29
49,Acer macrophyllum,-1.194207609,-0.692640656,0
50,Acer macrophyllum,-1.194207609,-1.099560782,24
51,Acer macrophyllum,-1.194207609,-0.285720531,0
53,Acer macrophyllum,-1.194207609,0.82110221,0
81,Acer macrophyllum,-1.194207609,0.69088777,0
83,Acer macrophyllum,-1.194207609,1.423343995,0
84,Acer macrophyllum,-1.194207609,-0.070866705,1
109,Achlys triphylla,-0.951034468,-0.350827751,0
113,Achlys triphylla,-0.951034468,-0.774024681,0
12,Achlys triphylla,-0.951034468,1.667496071,0
156,Achlys triphylla,-0.951034468,1.01642387,0
157,Achlys triphylla,-0.951034468,1.34195997,0
160,Achlys triphylla,-0.951034468,-1.392543272,0
161,Achlys triphylla,-0.951034468,-0.936792732,0
163,Achlys triphylla,-0.951034468,-1.197221612,0
164,Achlys triphylla,-0.951034468,-0.285720531,0
185,Achlys triphylla,-0.951034468,1.423343995,0
187,Achlys triphylla,-0.951034468,0.69088777,7
188,Achlys triphylla,-0.951034468,1.01642387,0
190,Achlys triphylla,-0.951034468,0.75599499,0
191,Achlys triphylla,-0.951034468,0.609503745,0
192,Achlys triphylla,-0.951034468,-1.587864932,2
193,Achlys triphylla,-0.951034468,0.75599499,0
194,Achlys triphylla,-0.951034468,0.300244449,0
223,Achlys triphylla,-0.951034468,-1.099560782,2
224,Achlys triphylla,-0.951034468,-0.448488581,0
225,Achlys triphylla,-0.951034468,-1.099560782,0
226,Achlys triphylla,-0.951034468,-1.262328832,0
227,Achlys triphylla,-0.951034468,-1.262328832,1
230,Achlys triphylla,-0.951034468,-0.448488581,1
247,Achlys triphylla,-0.951034468,0.69088777,0
248,Achlys triphylla,-0.951034468,1.01642387,0
250,Achlys triphylla,-0.951034468,-0.285720531,1
29,Achlys triphylla,-0.951034468,-0.774024681,0
30,Achlys triphylla,-0.951034468,-0.936792732,0
306,Achlys triphylla,-0.951034468,1.34195997,0
307,Achlys triphylla,-0.951034468,1.394045746,0
308,Achlys triphylla,-0.951034468,-0.350827751,0
31,Achlys triphylla,-0.951034468,-0.204336506,0
32,Achlys triphylla,-0.951034468,1.47217441,0
33,Achlys triphylla,-0.951034468,1.08153109,1
34,Achlys triphylla,-0.951034468,0.82110221,0
35,Achlys triphylla,-0.951034468,0.283967644,0
38,Achlys triphylla,-0.951034468,-0.503829718,1
39,Achlys triphylla,-0.951034468,-0.774024681,0
407,Achlys triphylla,-0.951034468,0.905741596,0
409,Achlys triphylla,-0.951034468,-1.480438019,0
410,Achlys triphylla,-0.951034468,-1.425096882,7
411,Achlys triphylla,-0.951034468,-0.936792732,0
412,Achlys triphylla,-0.951034468,1.667496071,0
43,Achlys triphylla,-0.951034468,-1.425096882,0
45,Achlys triphylla,-0.951034468,0.202583619,0
49,Achlys triphylla,-0.951034468,-0.692640656,0
50,Achlys triphylla,-0.951034468,-1.099560782,0
51,Achlys triphylla,-0.951034468,-0.285720531,0
53,Achlys triphylla,-0.951034468,0.82110221,0
81,Achlys triphylla,-0.951034468,0.69088777,0
83,Achlys triphylla,-0.951034468,1.423343995,0
84,Achlys triphylla,-0.951034468,-0.070866705,1
109,Adenocaulon bicolor,-0.532628356,-0.350827751,0
113,Adenocaulon bicolor,-0.532628356,-0.774024681,0
12,Adenocaulon bicolor,-0.532628356,1.667496071,0
156,Adenocaulon bicolor,-0.532628356,1.01642387,0
157,Adenocaulon bicolor,-0.532628356,1.34195997,0
160,Adenocaulon bicolor,-0.532628356,-1.392543272,0
161,Adenocaulon bicolor,-0.532628356,-0.936792732,0
163,Adenocaulon bicolor,-0.532628356,-1.197221612,0
164,Adenocaulon bicolor,-0.532628356,-0.285720531,0
185,Adenocaulon bicolor,-0.532628356,1.423343995,0
187,Adenocaulon bicolor,-0.532628356,0.69088777,0
188,Adenocaulon bicolor,-0.532628356,1.01642387,0
190,Adenocaulon bicolor,-0.532628356,0.75599499,0
191,Adenocaulon bicolor,-0.532628356,0.609503745,0
192,Adenocaulon bicolor,-0.532628356,-1.587864932,0
193,Adenocaulon bicolor,-0.532628356,0.75599499,0
194,Adenocaulon bicolor,-0.532628356,0.300244449,0
223,Adenocaulon bicolor,-0.532628356,-1.099560782,0
224,Adenocaulon bicolor,-0.532628356,-0.448488581,0
225,Adenocaulon bicolor,-0.532628356,-1.099560782,0
226,Adenocaulon bicolor,-0.532628356,-1.262328832,0
227,Adenocaulon bicolor,-0.532628356,-1.262328832,0
230,Adenocaulon bicolor,-0.532628356,-0.448488581,1
247,Adenocaulon bicolor,-0.532628356,0.69088777,0
248,Adenocaulon bicolor,-0.532628356,1.01642387,0
250,Adenocaulon bicolor,-0.532628356,-0.285720531,0
29,Adenocaulon bicolor,-0.532628356,-0.774024681,0
30,Adenocaulon bicolor,-0.532628356,-0.936792732,0
306,Adenocaulon bicolor,-0.532628356,1.34195997,1
307,Adenocaulon bicolor,-0.532628356,1.394045746,0
308,Adenocaulon bicolor,-0.532628356,-0.350827751,0
31,Adenocaulon bicolor,-0.532628356,-0.204336506,0
32,Adenocaulon bicolor,-0.532628356,1.47217441,0
33,Adenocaulon bicolor,-0.532628356,1.08153109,0
34,Adenocaulon bicolor,-0.532628356,0.82110221,0
35,Adenocaulon bicolor,-0.532628356,0.283967644,0
38,Adenocaulon bicolor,-0.532628356,-0.503829718,0
39,Adenocaulon bicolor,-0.532628356,-0.774024681,0
407,Adenocaulon bicolor,-0.532628356,0.905741596,0
409,Adenocaulon bicolor,-0.532628356,-1.480438019,0
410,Adenocaulon bicolor,-0.532628356,-1.425096882,0
411,Adenocaulon bicolor,-0.532628356,-0.936792732,0
